colony_name,category
Aali,H
AB Extn Colony,F
Abhey Garden,G
Abul Fazal Enclave,F
Acharya Niketan,F
Adarsh Bhawan Coop. H.B. Society,E
Adarsh Nagar,E
Adarsh Nagar Bindapur Extn,G
Adarsh Nagar Extension,F
AdhChini,E
"Adhyapak Nagar, Nangloi",G
"Agar Nagar, Mubarkapur Road",G
AGCR Enclave,D
Ahata Thakur Das Sarai Rohilla,D
Ahera Kishan,G
"Ahinsha Enclave, Mehrauli",F
Air India Colony,F
Ajanta Park,D
Ajay Enclave,E
Ajay Nagar Nangloi,G
Ajit Nagar,F
"Ajit Vihar, Burari",G
Ajmere Gate,E
Akal Garh,G
Akash Vihar Ranhola,G
Akbar Pur Majra,H
Alaknanda,C
Ali Extension,G
Aliganj,E
Alipur Village,H
Ali Vihar Badarpur,G
"Aman Puri, Najafgarh Road",G
Aman Vihar (Kailash Vihar),G
Amar Colony,F
"Amar Colony, Lajpat Nagar",D
Amar Colony (Mundka),G
"Amar Colony, Rohtak Road",G
Amar Jyoti Kunj,G
Amar Mohalla,F
Amar Park,D
Amar Vihar,G
Amba Enclave,E
Ambarhai Village,G
Ambedkar Basti (Seelampur),G
Ambedkar Camp,G
Ambedkar Nagar (East Delhi),G
Ambedkar Nagar (Jahangirpuri),G
"Ambedkar Nagar, Shahdara",F
Amber Vihar,G
Ambey Garden,G
Ambica Vihar,D
"Ambika Enclave, Kakraula",G
"Ambika Vihar, Karawal Nagar",G
Ami Chand Khand,F
Amrit Kaur Puri,F
Amrit Nagar,D
"Amrit Nagar, Shahdara",F
Amrit Puri,E
Amrit Puri Ranhola,G
"Anaj Mandi Market, Najafgarh",G
Anand Gram,F
Anand Kunj,D
Anand Lok,B
Anand Mohalla,F
Anand Nagar,F
Anand Niketan,A
Anand Parbat,F
"Anand Park Extn., Shakrawati",G
Anand Pur Dham Karala,G
Anand Ram Park,G
Anand Vihar,D
"Anand Vihar Colony, Pooth Khurd",G
"Anand Vihar, Gurpreet Nagar",G
Anand Vihar (Hari Nagar),D
"Anand Vihar, Nithari",G
Anand Vihar (Rani Bagh),D
Anand Vihar Uttam Nagar,F
Anarkali Colony,F
Anarkali Garden,F
Anaz Mandi,F
Andha Mughal,E
Andheria Mor,E
Andrews Ganj,B
"Ankur Enclave, Karawal Nagar",G
Anna Nagar,D
Anupam Apartment,C
Anupam Garden & Others Colonies (Cluster),D
Anup Nagar Uttam Nagar,G
Anup Vihar,F
Arab Ki Sarai,E
Aram Bagh,D
Aram Nagar,E
Aram Park,G
Arihant Nagar,E
Arjan Park,F
Arjun Garh (Bijwasan),E
Arjun Garh (Chattarpur),E
Arjun Mohalla,F
Arjun Nagar,E
Arjun Nagar East,F
Arjun Nagar (Sewa Nagar),D
Arjun Nagar West,F
Arjun Park Colony Najafgarh,G
Aruna Nagar,F
Arunodya Society,F
Arvind Enclave,G
Arvind Nagar,F
Arya Bhatt Enclave,C
Arya Mohalla,G
Arya Nagar (Anand Vihar),G
Arya Nagar (Pahar Ganj),E
Arya Pura,G
"Arya Samaj Road, Uttam Nagar",G
Asalatpur,F
Asalatpur Khawad,H
Asha Park,E
"Asha Vihar, Kamal Pur, Burari",G
Ashoka Pahari,E
Ashoka Park Main,F
Ashok Mohalla,G
"Ashok Mohalla, Shahdara",F
"Ashok Nagar Extn., Mandoli Road",F
"Ashok Nagar, Nand Nagri",G
"Ashok Nagar, Tihar",E
"Ashok Niketan, Anand Vihar",D
"Ashok Niketan, Naraina",D
Ashok Park Extn.,E
Ashok Vihar,D
Asian Games Village Complex,A
Asola,H
Asola Extn,G
Auchandi,H
Avtar Enclave,D
Avtar Vihar,G
Aya Nagar Colony,G
Aya Nagar Village,H
Ayodhya Enclave,E
Azad Camp,G
Azad Market,E
Azad Nagar (Kishan Ganj),F
Azad Nagar (Krishna Nagar),F
"Azad Palace, Burari",G
Azadpur,G
Azadpur Commercial Complex,E
Azim Dairy,G
"Baba Hari Dass Enclave, Najafgarh",G
"Baba Hari Dass Nagar, Tikri Border",G
Baba Hari Dass Nagar (Tikri Khurd),G
"Baba Mela Enclave, Badarpur",G
"Baba Nagar / Colony, Burari",G
Babarpur (East & West),G
Babu Jagjiwan Ram Colony,G
Babu Nagar,G
Badarpur,G
Badarpur Extn.,G
Badhosra,H
Badli Industrial Area,F
Badli Village,G
Badusarai,H
Bagdola Village,G
Baggichi Madhodas,E
Bagh Raoji Colony,F
Bagiabad (Badarpur),H
Bagichi Allauddin,E
Bagichi Peerji,E
Bagichi Phool Singh,F
Bahar Garh,E
Bahubali Enclave,D
Bahubali Extn,D
Bajaj Enclave,F
Bajaj Enclave Uttam Nagar,G
Bakarwala,H
Bakhtawar Pur,H
Bakhtawarpur Extn,G
Balaji Estate,B
Balbir Nagar,G
Balbir Nagar (90),G
Balbir Nagar Extn,G
"Balbir Vihar, Kirari",G
Baldev Park,F
"Baldev Park, Madan Pur Dabas",G
"Baldev Vihar, Karala Extn",G
Bali Nagar,D
Baljit Nagar,F
Baljit Vihar,G
Balmiki Basti,D
Balmiki Colony,D
Bal Mukund Khand,F
Balswa Jahangir,G
Balswa Jahangir Village,H
Bal Udyan Marg,G
Bamnoli Village,G
Banarsi Das Estate,C
Bandar Wali Khui,D
Bandhu Vihar,G
"Bank Colony, Mandoli",G
"Bank Enclave, Geeta Colony",E
Bankkauli,H
Bankner,H
Bankur Vihar,F
"Bapa Nagar, Dev Nagar",F
Bapraula,H
"Bapraula Extn, Najafgarh",G
Bapu Park,E
Baqar Garh (Begampur),H
Bara Chamarwara,E
Baradari,F
Bara Hindu Rao,F
"Bara Mohalla, Khanpur",F
Bara More Sarai,E
Baraula Village,H
Bari Wala Bagh,E
Barwala Village,H
"Basant Enclave, Ghevra Nizampur Road",G
Basant Gaon,E
Basant Lok DDA Complex,A
"Basant Vihar, Ghevra",G
Basi Darapur,G
Basti Bheekham Singh,G
Basti Harphool Singh,E
Batla House,G
Bawana Extn,G
Bawana Village,H
Bazid Pur Thakran,H
Beadonpura,D
Bees Sutri Colony,G
Bees Sutri Harijan Basti,G
Begampur,G
Begam Vihar,G
Begumpur Village,F
Begum Pur Village,H
Behari Pur,H
Behlolpur Bangar,F
"Behlol Pur Colony, Maharani Bagh",F
"Bengali Colony, Burari",G
Beri Wala Bagh,F
Ber Sarai,E
Bhagat Enclave,G
Bhagat Singh Colony,G
Bhagat Singh Enclave,F
Bhagat Singh Park,G
Bhagat Vihar,G
Bhagat Vihar Karawal Nagar,G
Bhagirathi Vihar,G
Bhagwan Das Nagar,D
Bhagwan Das Nagar Extn.,E
Bhagwan Nagar,E
"Bhagwan Park, Jharoda Mazra",G
Bhagwanpur Khera,G
Bhagwati Garden,G
Bhagwati Vihar,G
Bhagya Vihar,G
Bhai Parmanand Nagar,E
Bhajanpura,F
Bhalswa Dairy,G
Bharat Garden Matiala Road,F
Bharat Nagar,E
"Bharat Nagar, New Friends Colony",F
Bharat Vihar Begum Pur Extn,G
Bharat Vihar (Kakraula),G
Bharat Vihar Vashisht Park,G
Bharaula,G
Bharthal,G
Bharti Artist Colony,D
Bhati,H
Bhavishyanidhi Enclave,B
Bhera Enclave,D
Bheram Puri,G
Bhikaji Cama Palace,A
Bhim Nagri,E
Bhogal,E
Bhola Nagar,D
Bhola Nath Nagar,F
Bhola Ram Enclave Village Pochanpur,G
Bhoomi Heen Camp,G
Bhor Garh,H
Bihari Colony,F
"Bihari Colony, Mustafabad",G
Bihari Park,G
Bihari Puri Extn.,F
"Bihari Pur, Mustafabad",G
Bijwasan,G
Bindapur,G
Bindapur Village,G
Braham Puri,F
Brijpuri,F
"Brijpuri, Sherpur",G
Brij Vihar,E
Brij Vihar Pehladpur Vihar Extn,G
British India Colony,G
Budhan Pur,H
Budhela Village,G
Budh Nagar (JJ Colony),G
Budhpur Bijapur,H
Budh Vihar,G
"Budh Vihar Colony, Tajpur Pahari",G
"Budh Vihar, Mandoli",F
Bulbuli Khan,E
Bulund Masjid (Shastri Park),G
Bunker Colony,G
Burari,H
Burari Extn. Colony,G
Canal Colony Okhla,G
Carriappa Marg,E
CC Colony (Rajpura),D
Chaju Colony,F
Chaman Park,F
"Chanakya Place, Uttam Nagar",F
Chanchal Park Colony (Nangloi),G
Chandan Garden,G
Chandan Hola,H
Chandan Park,G
Chandan Vihar,G
"Chandan Vihar, Burari",G
Chandar Nagar,D
Chand Bagh,F
Chander Lok,D
Chander Nagar Karawal Nagar,G
"Chander Vihar, Mandawali",G
"Chander Vihar, Nilothi",G
Chand Mohalla,F
Chand Nagar,F
Chandni Chowk,E
Chandni Mahal,E
Chand Pur,H
Chandra Lok,F
Chandra Nagar,F
"Chandra Park, Dwarka",G
"Chandra Park, Karala",G
Chandra Shekhar Azad Colony,F
Chandrawal Village,G
Chandu Nagar Karawal Nagar,G
Chandu Park,F
Chand Vihar,G
Chatta Lal Miya,E
Chhatar Pur,H
Chhatar Pur Colony,F
Chauhan Bangar,F
Chaukhandi,G
Chaukhandi Extn,F
Chaukri Mubarkabad,G
Chawla Park,F
Chchuna Lal Park,D
Chhaju Ram Colony,G
Chhatta Bhawani Shankar,E
Chhawla,H
Chhippy Wada,E
Chhota Chamarwara,E
Chilla Janata Flats,G
Chilla Saroda Bangar,H
Chilla Saroda Khadar,H
Chirag Coop. H.B. Society,C
Chirag Enclave,B
Chiragh Delhi Village,F
Chitla Gate Area,E
Chitrakoot,F
Chitra Vihar,D
Chittaranjan Park,C
Chowk Nai Basti,E
Christian Colony,E
Christian Colony Mehrauli,G
Chuna Mandi,E
Citizens Enclave,E
Civil Lines,C
Cottage Enclave,D
"Dabar Enclave, Jaffarpur",G
Dabri Extn,G
Dabri Extn Village,G
Dairy Colony,G
Dairy Mansha Ram,G
Dakshinpuri,G
"Dakshinpuri Extn Block 19, South Enclave",G
Dalai Mohalla,F
Dallupura,H
Dalmia Vihar,D
Daryaganj,D
Darya Pur Kalan,H
Daryapur Khurd,H
Dasghera Village,H
Dashrath Puri,G
"Dashrath Puri, Palam Road",G
Data Ram Park near Dindarpur,G
Daulat Pur,H
Dawat Nagar,F
Daya Basti,F
Dayalpark Sagarpur,G
Dayalpur,G
Dayal Pur (Behari Pur Village),H
Dayalsar Colony,F
Dayanand Block,F
Dayanand Colony,D
Dayanand Vihar,D
Deepak Vihar,G
Deepali,D
Deep Colony Bawana,G
Deep Enclave,C
"Deep Enclave, Hastsal",G
Deep Vihar,G
Defence Colony,B
Defence Enclave,D
"Defence Enclave, Mahipalpur",E
Dehroti,G
Delhi Dayal Coop H.B. Society,C
Delhi University South Campus & Army Area,B
Deoli Colony,G
Deoli Village,H
Deorala,H
Dera,H
Derawal Nagar,D
Devaram Park,F
Devi Nagar,G
Dev Kunj (Raj Nagar),G
Dev Nagar,E
Dhaka,G
Dhaka Johar near Dr. Mukherjee Nagar,G
"Dhanka Colony, Nangloi Jat",G
Dhansa,H
Dhansa Extn,G
Dharam Kunj,E
"Dharam Pura, Chandni Chowk",E
"Dharam Pura Colony, Najafgarh",G
"Dharam Pura, Gandhi Nagar",F
"Dharam Vihar, Dwarka",G
Dharma Colony,G
Dhirpur Village,G
Dhruv Enclave,G
Dhul Siras Village,G
Dichaon Enclave,G
Dichaon Kalan,H
Dilkhush Bagh,D
Dilkhush Bagh Industrial Area,E
Dilshad Colony,F
"Dilshad Garden (82, 83)",F
Dindar Pur,H
"Dindarpur Extn, Najafgarh",G
DLF Industrial Area,E
Dori Walan,E
Dr. Ambedkar Colony Andheri Mor,G
"Dr. Ambedkar Colony, Bijwasan",G
"Dr. Ambedkar Colony, Johripur",G
"Dr. Ambedkar Nagar, Haiderpur",G
Dr. Ambedkar Nagar (Madangir),G
Dr. Bhimrao Ambedkar Colony,F
DR Lohia Industrial Area,F
Duggal Colony,F
Duragapuri,F
"Durga Enclave, Jaffarpur Kalan",G
Durga Mohalla,G
Durga Park Colony,G
"Durga Park Colony, Dabri",G
"Durga Park, Najafgarh",G
"Durga Park, Nasirpur",G
"Durga Puri, Dabri",G
